review_id,product,review_text,rating,date
243,Laptop Stand,"Very disappointed, poor quality.",2,2025-04-21
244,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
245,Phone Case,"Absolutely love it, would buy again.",5,2025-04-21
246,Bluetooth Speaker,"Very disappointed, poor quality.",2,2025-04-21
247,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
248,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
249,Bluetooth Speaker,"Terrible experience, broke in a week.",3,2025-04-21
250,Keyboard,"Terrible experience, broke in a week.",3,2025-04-21
251,Wireless Earbuds,"Very disappointed, poor quality.",1,2025-04-21
252,Gaming Mouse,Sound quality is amazing and very durable.,5,2025-04-21
253,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
254,Tablet,Super convenient and reliable.,5,2025-04-21
255,Phone Case,Great value for the price.,5,2025-04-21
256,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
257,Gaming Mouse,Not worth the money.,2,2025-04-21
258,Tablet,"Very disappointed, poor quality.",1,2025-04-21
259,Tablet,Sound quality is amazing and very durable.,4,2025-04-21
260,Keyboard,"Terrible experience, broke in a week.",2,2025-04-21
261,Wireless Earbuds,Would not recommend to anyone.,1,2025-04-21
262,Tablet,"Very disappointed, poor quality.",3,2025-04-21
263,Keyboard,"Terrible experience, broke in a week.",3,2025-04-21
264,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
265,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
266,Bluetooth Speaker,"Terrible experience, broke in a week.",1,2025-04-21
267,Wireless Earbuds,Great value for the price.,5,2025-04-21
268,Smart Watch,Sound quality is amazing and very durable.,4,2025-04-21
269,Keyboard,"Very disappointed, poor quality.",3,2025-04-21
270,Keyboard,"Absolutely love it, would buy again.",4,2025-04-21
271,Tablet,"Very disappointed, poor quality.",1,2025-04-21
272,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
273,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
274,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
275,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
276,Smart Watch,Super convenient and reliable.,4,2025-04-21
277,Wireless Earbuds,Not worth the money.,1,2025-04-21
278,Laptop Stand,Super convenient and reliable.,4,2025-04-21
279,Laptop Stand,Great value for the price.,4,2025-04-21
280,Wireless Earbuds,Not worth the money.,1,2025-04-21
281,Bluetooth Speaker,Excellent product! Very satisfied.,4,2025-04-21
282,Phone Case,Great value for the price.,4,2025-04-21
283,Gaming Mouse,Sound quality is amazing and very durable.,5,2025-04-21
284,Wireless Earbuds,"Absolutely love it, would buy again.",4,2025-04-21
285,Smart Watch,Stopped working after a few uses.,2,2025-04-21
286,Smart Watch,Would not recommend to anyone.,1,2025-04-21
287,Wireless Earbuds,Stopped working after a few uses.,3,2025-04-21
288,Wireless Earbuds,"Absolutely love it, would buy again.",5,2025-04-21
289,Keyboard,"Absolutely love it, would buy again.",5,2025-04-21
290,Smart Watch,Great value for the price.,4,2025-04-21
291,Smart Watch,Great value for the price.,5,2025-04-21
292,Keyboard,Stopped working after a few uses.,3,2025-04-21
293,Keyboard,Excellent product! Very satisfied.,4,2025-04-21
294,Keyboard,Not worth the money.,2,2025-04-21
295,Gaming Mouse,Stopped working after a few uses.,2,2025-04-21
296,Smart Watch,Stopped working after a few uses.,2,2025-04-21
297,Bluetooth Speaker,Not worth the money.,3,2025-04-21
298,Tablet,Excellent product! Very satisfied.,4,2025-04-21
299,Smart Watch,"Terrible experience, broke in a week.",3,2025-04-21
300,Gaming Mouse,Super convenient and reliable.,4,2025-04-21
301,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
302,Keyboard,Great value for the price.,5,2025-04-21
303,Gaming Mouse,Super convenient and reliable.,4,2025-04-21
304,Phone Case,Not worth the money.,1,2025-04-21
305,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
306,Laptop Stand,Would not recommend to anyone.,3,2025-04-21
307,Wireless Earbuds,"Terrible experience, broke in a week.",1,2025-04-21
308,Bluetooth Speaker,"Very disappointed, poor quality.",2,2025-04-21
309,Wireless Earbuds,Sound quality is amazing and very durable.,5,2025-04-21
310,Smart Watch,Excellent product! Very satisfied.,4,2025-04-21
311,Laptop Stand,Stopped working after a few uses.,2,2025-04-21
312,Gaming Mouse,Great value for the price.,5,2025-04-21
313,Gaming Mouse,Excellent product! Very satisfied.,4,2025-04-21
314,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
315,Tablet,Stopped working after a few uses.,3,2025-04-21
316,Tablet,"Very disappointed, poor quality.",1,2025-04-21
317,Smart Watch,Stopped working after a few uses.,1,2025-04-21
318,Bluetooth Speaker,Would not recommend to anyone.,3,2025-04-21
319,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
320,Wireless Earbuds,Sound quality is amazing and very durable.,5,2025-04-21
321,Laptop Stand,Great value for the price.,5,2025-04-21
322,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
323,Keyboard,Sound quality is amazing and very durable.,5,2025-04-21
324,Laptop Stand,"Terrible experience, broke in a week.",2,2025-04-21
325,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
326,Smart Watch,Would not recommend to anyone.,2,2025-04-21
327,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
328,Keyboard,Great value for the price.,4,2025-04-21
329,Tablet,"Terrible experience, broke in a week.",2,2025-04-21
330,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
331,Smart Watch,"Very disappointed, poor quality.",3,2025-04-21
332,Gaming Mouse,Great value for the price.,4,2025-04-21
333,Smart Watch,Super convenient and reliable.,4,2025-04-21
334,Gaming Mouse,Not worth the money.,1,2025-04-21
335,Smart Watch,Great value for the price.,4,2025-04-21
336,Phone Case,Excellent product! Very satisfied.,4,2025-04-21
337,Tablet,Would not recommend to anyone.,3,2025-04-21
338,Tablet,"Very disappointed, poor quality.",1,2025-04-21
339,Tablet,"Absolutely love it, would buy again.",5,2025-04-21
340,Bluetooth Speaker,Would not recommend to anyone.,1,2025-04-21
341,Gaming Mouse,Great value for the price.,5,2025-04-21
342,Tablet,Excellent product! Very satisfied.,5,2025-04-21
343,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
344,Tablet,"Absolutely love it, would buy again.",4,2025-04-21
345,Gaming Mouse,Would not recommend to anyone.,1,2025-04-21
346,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
347,Smart Watch,Excellent product! Very satisfied.,4,2025-04-21
348,Tablet,Would not recommend to anyone.,3,2025-04-21
349,Phone Case,"Very disappointed, poor quality.",2,2025-04-21
350,Keyboard,"Very disappointed, poor quality.",3,2025-04-21
351,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
352,Smart Watch,"Very disappointed, poor quality.",2,2025-04-21
353,Phone Case,"Terrible experience, broke in a week.",3,2025-04-21
354,Phone Case,"Very disappointed, poor quality.",3,2025-04-21
355,Keyboard,Super convenient and reliable.,4,2025-04-21
356,Bluetooth Speaker,"Very disappointed, poor quality.",1,2025-04-21
357,Smart Watch,Would not recommend to anyone.,2,2025-04-21
358,Wireless Earbuds,"Very disappointed, poor quality.",1,2025-04-21
359,Laptop Stand,Stopped working after a few uses.,1,2025-04-21
360,Laptop Stand,Sound quality is amazing and very durable.,4,2025-04-21
361,Bluetooth Speaker,Super convenient and reliable.,4,2025-04-21
362,Gaming Mouse,Super convenient and reliable.,5,2025-04-21
363,Phone Case,Sound quality is amazing and very durable.,4,2025-04-21
364,Tablet,"Absolutely love it, would buy again.",5,2025-04-21
365,Laptop Stand,Would not recommend to anyone.,2,2025-04-21
366,Tablet,Super convenient and reliable.,4,2025-04-21
367,Bluetooth Speaker,Not worth the money.,2,2025-04-21
368,Tablet,"Very disappointed, poor quality.",2,2025-04-21
369,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
370,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
371,Smart Watch,Great value for the price.,4,2025-04-21
372,Phone Case,Stopped working after a few uses.,3,2025-04-21
373,Phone Case,"Terrible experience, broke in a week.",1,2025-04-21
374,Tablet,"Terrible experience, broke in a week.",2,2025-04-21
375,Wireless Earbuds,Would not recommend to anyone.,2,2025-04-21
376,Laptop Stand,"Terrible experience, broke in a week.",2,2025-04-21
377,Laptop Stand,Great value for the price.,4,2025-04-21
378,Gaming Mouse,Sound quality is amazing and very durable.,4,2025-04-21
379,Bluetooth Speaker,Not worth the money.,3,2025-04-21
380,Tablet,Would not recommend to anyone.,1,2025-04-21
381,Smart Watch,Great value for the price.,4,2025-04-21
382,Phone Case,"Terrible experience, broke in a week.",2,2025-04-21
383,Laptop Stand,"Terrible experience, broke in a week.",1,2025-04-21
384,Laptop Stand,Would not recommend to anyone.,2,2025-04-21
385,Smart Watch,"Absolutely love it, would buy again.",4,2025-04-21
386,Laptop Stand,Great value for the price.,5,2025-04-21
387,Wireless Earbuds,Not worth the money.,3,2025-04-21
388,Keyboard,Excellent product! Very satisfied.,5,2025-04-21
389,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
390,Wireless Earbuds,"Very disappointed, poor quality.",2,2025-04-21
391,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
392,Laptop Stand,Super convenient and reliable.,5,2025-04-21
393,Phone Case,Great value for the price.,5,2025-04-21
394,Phone Case,Stopped working after a few uses.,3,2025-04-21
395,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
396,Wireless Earbuds,Not worth the money.,1,2025-04-21
397,Laptop Stand,Great value for the price.,5,2025-04-21
398,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
399,Laptop Stand,"Very disappointed, poor quality.",1,2025-04-21
400,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
401,Keyboard,Stopped working after a few uses.,2,2025-04-21
402,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
403,Gaming Mouse,"Terrible experience, broke in a week.",3,2025-04-21
404,Keyboard,"Absolutely love it, would buy again.",4,2025-04-21
405,Bluetooth Speaker,"Terrible experience, broke in a week.",1,2025-04-21
406,Gaming Mouse,"Very disappointed, poor quality.",2,2025-04-21
407,Keyboard,"Absolutely love it, would buy again.",5,2025-04-21
408,Tablet,Great value for the price.,5,2025-04-21
409,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
410,Gaming Mouse,Excellent product! Very satisfied.,4,2025-04-21
411,Tablet,Sound quality is amazing and very durable.,4,2025-04-21
412,Laptop Stand,"Very disappointed, poor quality.",2,2025-04-21
413,Wireless Earbuds,"Absolutely love it, would buy again.",5,2025-04-21
414,Gaming Mouse,"Terrible experience, broke in a week.",3,2025-04-21
415,Phone Case,Stopped working after a few uses.,2,2025-04-21
416,Bluetooth Speaker,Excellent product! Very satisfied.,4,2025-04-21
417,Phone Case,Would not recommend to anyone.,2,2025-04-21
418,Smart Watch,"Very disappointed, poor quality.",3,2025-04-21
419,Tablet,Super convenient and reliable.,5,2025-04-21
420,Tablet,Excellent product! Very satisfied.,4,2025-04-21
421,Smart Watch,Not worth the money.,3,2025-04-21
422,Tablet,Great value for the price.,5,2025-04-21
423,Smart Watch,"Very disappointed, poor quality.",1,2025-04-21
424,Phone Case,Would not recommend to anyone.,1,2025-04-21
425,Smart Watch,Sound quality is amazing and very durable.,4,2025-04-21
426,Tablet,Great value for the price.,5,2025-04-21
427,Tablet,Super convenient and reliable.,4,2025-04-21
428,Smart Watch,Stopped working after a few uses.,3,2025-04-21
429,Tablet,Stopped working after a few uses.,3,2025-04-21
430,Smart Watch,Great value for the price.,4,2025-04-21
431,Tablet,Would not recommend to anyone.,2,2025-04-21
432,Phone Case,Sound quality is amazing and very durable.,5,2025-04-21
433,Wireless Earbuds,Super convenient and reliable.,4,2025-04-21
434,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
435,Laptop Stand,Would not recommend to anyone.,2,2025-04-21
436,Smart Watch,Not worth the money.,3,2025-04-21
437,Bluetooth Speaker,Great value for the price.,4,2025-04-21
438,Phone Case,Sound quality is amazing and very durable.,5,2025-04-21
439,Wireless Earbuds,Excellent product! Very satisfied.,4,2025-04-21
440,Bluetooth Speaker,Super convenient and reliable.,5,2025-04-21
441,Wireless Earbuds,Would not recommend to anyone.,2,2025-04-21
442,Bluetooth Speaker,Not worth the money.,3,2025-04-21
443,Keyboard,Stopped working after a few uses.,1,2025-04-21
444,Wireless Earbuds,"Absolutely love it, would buy again.",5,2025-04-21
445,Tablet,Not worth the money.,2,2025-04-21
446,Phone Case,"Very disappointed, poor quality.",3,2025-04-21
